VehicleSpeed[km/h],EngineSpeed[rpm],count,mean
6.8069999999999995,566.25,196,2.0525510034336736
6.8069999999999995,815.75,27,7.077777800592593
6.8069999999999995,1065.25,17,10.849999961058824
6.8069999999999995,1314.75,6,18.4083333015
6.8069999999999995,1564.25,9,18.805555212555554
6.8069999999999995,1813.75,1,28.29999924
20.4125,566.25,1,0.0
20.4125,815.75,31,3.469354827580645
20.4125,1065.25,65,9.509230782476923
20.4125,1314.75,27,20.231481481518518
20.4125,1564.25,12,21.8708333175
20.4125,1813.75,8,27.612500010625002
34.018,815.75,31,1.2483870696129031
34.018,1065.25,97,9.885051572402062
34.018,1314.75,20,29.540000106
34.018,1564.25,12,32.32499996833334
34.018,1813.75,4,37.21249914
47.623999999999995,815.75,5,3.0399999620000004
47.623999999999995,1065.25,267,8.390636688981274
47.623999999999995,1314.75,20,33.58499978815
47.623999999999995,1564.25,2,25.2000002845
61.2295,815.75,6,0.0
61.2295,1065.25,556,13.925359717845323
61.2295,1314.75,11,43.672727324545455
61.2295,1564.25,2,46.350000385
74.83500000000001,1065.25,261,16.1509578581954
74.83500000000001,1314.75,3860,20.368717622248443
