VehicleSpeed[km/h],EngineFuelRate[L/h]
0.016,1.549999952
0.130000003,2.299999952
0.597999998,3.75
3.284000107,11.80000019
5.702999779000001,20.60000038
5.871,0.0
5.895000168,17.04999924
9.801999756,31.89999962
10.676000310000001,3.400000095
10.14100046,5.050000191
11.41099996,28.60000038
13.610000320000001,18.60000038
14.39399976,18.0
15.46699972,17.89999962
15.7800004,18.29999924
16.409000109999997,17.75
17.30000085,16.79999924
18.345000929999998,15.80000019
19.03499956,15.25
18.95899934,3.5
18.662000369999998,4.75
18.93399973,4.849999905
18.84799928,0.0
18.621999449999997,0.0
17.00399942,0.0
15.54199953,0.0
14.26199979,6.699999809
12.924000450000001,0.0
10.88499994,0.0
10.79400034,5.300000191
8.650000282,10.10000038
8.992999741,12.89999962
11.331000040000001,13.85000038
12.60000009,14.5
14.549999900000001,14.0
15.627999970000001,12.5
16.20300073,4.650000095
16.1930005,4.0
15.723000240000001,0.25
14.83200044,0.800000012
13.421999640000001,2.400000095
13.26800031,4.949999809
12.938000390000001,6.400000095
13.313999840000001,7.900000095
13.47699995,9.300000191
14.21499986,10.94999981
14.64800043,11.5
15.94500036,11.25
17.332000439999998,11.10000038
17.62599916,11.0
18.632999129999998,10.64999962
18.575999919999997,10.35000038
20.24500055,9.75
20.343999569999998,9.100000381
21.54800005,0.0
21.3539998,11.60000038
21.55700082,11.35000038
22.839000409999997,11.19999981
23.111999219999998,11.10000038
24.12000055,10.89999962
24.96499986,10.85000038
25.23599977,10.80000019
26.11099977,10.64999962
26.236999219999998,7.599999905
26.42300005,4.199999809
26.03600092,4.349999905
25.97299928,4.5
26.197999659999997,4.650000095
25.971999829999998,7.949999809
25.717000669999997,8.399999619
26.517999359999997,10.39999962
27.27600069,11.94999981
27.52600069,12.0
28.488000579999998,12.0
28.72400064,11.44999981
28.808000269999997,6.550000191
28.85600061,3.75
28.30999918,6.900000095
28.6949994,5.800000191
28.72800035,5.400000095
28.436000529999998,5.550000191
28.269000719999998,5.5
28.825999919999997,5.400000095
28.35499925,3.900000095
28.048999499999997,2.5
27.639999099999997,0.0
26.41699953,0.0
26.33999986,0.0
25.68200082,0.0
25.0300004,0.0
25.20499963,0.600000024
24.14999933,0.0
23.70899934,0.0
23.04400034,0.0
20.530999849999997,0.0
17.114999479999998,0.0
13.68000002,0.0
9.348000237,12.5
8.419000336,0.0
7.943999954000001,9.899999619
8.091000267,9.649999619
9.055000015000001,8.199999809
9.334000298000001,0.0
9.794000336,12.05000019
11.12600011,4.800000191
11.33900041,4.75
11.77500028,4.5
12.96699972,9.550000191
14.171999640000001,14.30000019
15.44299955,15.60000038
16.4050004,15.55000019
16.93699998,16.14999962
18.412000369999998,12.5
17.89999933,0.0
18.10799951,14.44999981
19.35099954,17.75
20.741000839999998,19.79999924
22.013000199999997,19.20000076
23.263000199999997,18.79999924
24.131000229999998,10.89999962
24.13899965,4.349999905
24.420999239999997,23.20000076
26.70199937,27.54999924
28.02799959,28.10000038
29.90100069,26.75
31.45799989,21.95000076
32.26500101,10.25
32.06300134,4.25
32.48999948,20.20000076
33.28799982,20.25
34.1569993,20.20000076
35.148999880000005,20.29999924
35.922998140000004,20.25
36.86200113,19.79999924
37.62899942,19.14999962
38.31500024,13.55000019
38.47799844,2.200000048
38.46800012,15.94999981
38.934999180000005,15.60000038
39.586000150000004,14.75
40.28600092,13.94999981
40.4429986,12.39999962
40.4429986,0.0
40.363000580000005,6.099999905
40.711000150000004,9.899999619
40.672998140000004,9.949999809
41.02200098,9.649999619
41.31699915,7.900000095
41.288999270000005,5.900000095
41.169000340000004,6.0
41.26600046,5.949999809
41.24099893,6.0
41.116998380000005,5.550000191
40.67199869,0.25
40.38799829,0.050000001
39.84100122,0.200000003
39.23700113,0.300000012
39.0889985,0.0
38.56900186,0.0
37.03099985,0.0
35.6530015,0.0
33.82999963,0.0
32.00700159,0.0
30.27000017,0.0
29.14500017,0.0
27.39999933,0.0
25.672000599999997,0.0
24.20899934,16.60000038
22.0680005,0.0
20.345000929999998,0.0
18.40400095,0.0
16.721999829999998,5.199999809
14.593000120000001,0.0
11.59199972,0.0
10.32200021,3.299999952
7.785000034,0.0
5.595999905,1.049999952
4.523999878000001,1.399999976
2.559999891,1.350000024
0.855000027,1.649999976
0.132999995,2.099999905
0.060000002999999996,1.649999976
0.086999998,1.649999976
0.035000001,1.649999976
0.08500000199999999,1.649999976
0.158,1.700000048
0.11199999699999999,1.700000048
0.06799999699999999,1.700000048
0.168000006,1.75
0.024999999,1.75
0.152000003,1.75
0.089999997,1.75
0.165,1.75
0.073,1.75
0.053999997999999994,1.75
0.052000002000000003,1.75
0.075999998,1.799999952
0.024000001,1.799999952
0.078999997,1.799999952
0.033999999,1.799999952
0.031000000000000003,1.799999952
0.138000005,1.75
0.105999999,1.799999952
0.0,1.799999952
0.097000004,1.799999952
0.026999999,1.799999952
0.033,1.799999952
0.11,1.799999952
0.022000000999999998,1.799999952
0.205999993,1.799999952
0.104999997,3.400000095
1.982999989,13.94999981
6.316000172000001,23.04999924
10.08999986,26.04999924
12.610000320000001,26.29999924
13.49299974,3.450000048
13.299000450000001,4.800000191
14.66999979,32.54999924
18.332000439999998,50.40000153
23.11400003,69.09999847
26.25900049,20.0
26.18799944,0.0
26.71800012,22.0
29.02499933,43.75
31.32500047,37.54999924
33.7839982,33.65000153
35.1740014,36.59999847
36.72400064,36.34999847
38.419999790000006,35.79999924
39.34000177,4.5
38.67799921,9.350000381
40.273999880000005,34.0
41.16200037,34.15000153
42.80100031,32.20000076
44.24099893,26.60000038
45.26299829,19.20000076
45.032998750000004,2.200000048
44.672998140000004,0.0
44.18200082,0.0
44.00100107,0.800000012
43.57200021,4.300000191
43.366998380000005,6.900000095
43.41200037,8.850000381
43.34000177,9.5
43.80800027,9.5
43.88200159,9.550000191
43.97200174,8.899999619
43.7819993,8.899999619
44.225999540000004,9.050000191
44.377999970000005,8.25
44.77599878,7.25
44.1569993,6.349999905
44.29200143,5.949999809
43.907998750000004,6.650000095
44.151998230000004,7.050000191
44.14999933,6.849999905
44.24500055,7.0
44.30199976,6.900000095
44.24099893,7.0
44.42099924,6.949999809
44.38200159,6.800000191
44.25499887,6.650000095
44.21999902,6.650000095
44.06400079,6.550000191
44.34499902,6.800000191
44.09499902,7.0
44.14800043,7.150000095
44.0679986,7.050000191
44.10899896,7.199999809
44.267999360000005,7.300000191
44.312001890000005,7.25
44.526998230000004,6.650000095
44.12000055,6.300000191
44.09300012,6.400000095
44.04200143,6.800000191
44.42500085,6.699999809
44.07200021,6.949999809
44.208001800000005,7.300000191
44.07000131,7.199999809
44.139001560000004,7.199999809
44.20699854,7.650000095
44.31099863,7.050000191
44.476998990000006,6.800000191
44.246999450000004,6.550000191
44.10299844,7.150000095
43.65099878,8.75
44.20699854,8.649999619
44.23499841,7.75
44.39199991,6.650000095
44.562001890000005,5.400000095
44.25999994,5.300000191
44.2100007,5.449999809
44.157998750000004,6.300000191
44.0280015,6.949999809
44.288999270000005,7.25
43.761998840000004,7.599999905
43.91599817,8.199999809
43.982000060000004,8.050000191
44.17699976,8.100000381
44.4089982,7.699999809
44.39000101,7.300000191
44.01600046,6.949999809
44.134000490000005,6.300000191
44.39199991,6.0
44.34900064,5.900000095
44.33400125,6.550000191
44.25200052,6.449999809
43.92099924,6.900000095
44.2139985,7.400000095
43.949998570000005,7.550000191
43.98399896,7.400000095
44.252999970000005,7.699999809
44.39100046,7.699999809
44.532998750000004,3.299999952
42.90599985,0.0
41.03600092,0.0
38.55100031,0.0
35.62399835,5.75
32.244001100000006,0.0
29.12000055,0.0
26.02799959,11.55000019
22.121,0.0
17.516000459999997,0.0
13.01399965,12.0
8.660999962,0.0
5.160000034,1.25
2.0849999869999998,1.5
0.129000001,0.850000024
0.185999998,1.450000048
0.053000000000000005,1.549999952
0.050000001,1.549999952
0.123000004,1.549999952
0.074000002,1.549999952
0.145000004,1.549999952
0.075000004,1.549999952
0.173000001,1.549999952
0.062,1.549999952
0.145000004,1.5
0.089000002,1.5
0.053999997999999994,1.549999952
0.048000001,1.549999952
0.024000001,1.600000024
0.024000001,1.600000024
0.092000001,1.600000024
0.05499999999999999,1.549999952
0.264000007,1.5
0.132000007,1.549999952
0.215999999,1.549999952
0.191999995,2.299999952
