VehicleSpeed[km/h],EngineSpeed[rpm],EngineFuelRate[L/h],grad[%],time[s],acc[m/s^2],W[kg],EngineFuelRate[g/h],predit_gear_position,i_m,mu_r[kg/kg],mu_aA[kg/(km/h)2],W_eq[kg],F_rr[N],F_slope[N],F_air[N],F_acc[N],R[N],engine_torque[Nm],engine_power[kW],BSFC[g/kW-h],BTE,P_rr[kW],P_air[kW],P_acc[kW],P_slope[kW],vehile_power[kW]
0.02,500.25,1.549999952,0.0,1,0.005555555555555556,21038.75,1295.799959872,1,14.68,0.005966551601212049,0.028320500000000002,97862.70319999999,1231.437405375,0.0,0.00011112964200000002,660.5636288888888,1892.0011453935308,20.063220495662446,1.0510330224930595,1232.8822521659226,0.06838376766422537,0.006841318918750001,6.173869000000001e-10,0.003669797938271605,0.0,0.010511117474408506
0.134000003,502.0,2.299999952,0.0,2,0.0316666675,21038.75,1922.7999598719998,1,14.68,0.005966551601212049,0.028320500000000002,97862.70319999999,1231.437405375,0.0,0.004988609852750584,3765.2127837512107,4996.655177736064,52.985694440930466,2.7854217712430773,690.3083689957277,0.12213256752502612,0.04583683778182284,1.8568714867622443e-07,0.14014959008841682,0.0,0.18598661355738838
0.601999998,644.75,3.75,0.0,3,0.1299999986111111,21038.75,3135.0,1,14.68,0.005966551601212049,0.028320500000000002,97862.70319999999,1231.437405375,0.0,0.10068456627941956,15457.188750859092,16688.726840800373,176.97114360320032,11.948748666080423,262.37057014175036,0.3213360913303342,0.20592369877024314,1.683669686078929e-05,2.5847854436396656,0.0,2.7907259791067696
3.288000107,779.5,11.80000019,0.0,4,0.7461111413888888,21038.75,9864.80015884,2,12.05,0.005966551601212049,0.028320500000000002,66280.473125,1231.437405375,0.0,3.003541036491054,65149.84523098481,66384.2861773963,857.5975852061558,70.00487540436315,140.91590195481103,0.5982939634200947,1.1247128668435562,0.0027432342359337432,59.503527247364296,0.0,60.63098334844378
5.706999779,1388.25,20.60000038,0.0,5,0.6719443533333335,21038.75,17221.60031768,2,12.05,0.005966551601212049,0.028320500000000002,66280.473125,1231.437405375,0.0,9.048688447600522,58673.65891629719,59914.145010119784,774.0118790019575,112.52367977077147,153.04867697859797,0.550864830417652,1.9521702778687386,0.014344684158526676,93.01404401900817,0.0,94.98055898103543
5.875,1335.0,0.0,0.0,6,0.046666728055555495,21038.75,0.0,2,12.05,0.005966551601212049,0.028320500000000002,66280.473125,1231.437405375,0.0,9.589272624140627,4074.902439596748,5315.929117595889,68.6748059954229,9.600797837085656,0.0,inf,2.009637432382813,0.015649160185229494,6.650014397953027,0.0,8.67530099052107
5.899000168,1139.5,17.04999924,0.0,7,0.006666713333333253,21038.75,14253.79936464,3,9.92,0.005966551601212049,0.028320500000000002,45257.32519999999,1231.437405375,0.0,9.66777959910027,441.97692848350397,1683.0821134576042,26.411857119219246,3.1516783375444035,4522.606001647267,0.01864171529838184,2.0178470725523914,0.01584173152202207,0.7242283264934204,0.0,2.757917130567834
9.805999756,1573.5,31.89999962,0.0,8,1.0852776633333334,21038.75,26668.39968232,4,8.14,0.005966551601212049,0.028320500000000002,30815.3753,1231.437405375,0.0,26.714907831136333,56276.123939777885,57534.27625298402,1100.2909886120706,181.30213624399167,147.09368700670115,0.573166226267892,3.354298582399035,0.07276843879824593,153.28990489502436,0.0,156.71697191622167
10.68000031,1600.25,3.400000095,0.0,9,0.24277793166666672,21038.75,2842.4000794200006,4,8.14,0.005966551601212049,0.028320500000000002,30815.3753,1231.437405375,0.0,31.68928603379213,12589.037288718175,13852.163980126967,264.91010564019945,44.39304955653166,64.0280428538794,1.3167532495388954,3.6532644086529436,0.09401155129571627,37.347478373919905,0.0,41.094754333868565
10.14500046,952.75,5.050000191,0.0,10,-0.1486110694444445,21038.75,4221.800159676,6,5.56,0.005966551601212049,0.028320500000000002,14936.184799999997,1231.437405375,0.0,28.59394424935119,-5346.273533822162,-4086.2421841978107,-99.16398705367168,-9.89376419711474,-426.7132383150165,-0.19757796552639656,3.470259178886273,0.0805793271008006,-15.066096516642126,0.0,-11.515258010655055
