VehicleSpeed[km/h],EngineSpeed[rpm],EngineFuelRate[L/h],grad[%],time[s],acc[m/s^2],W[kg],EngineFuelRate[g/h],predit_gear_position,i_m,mu_r[kg/kg],mu_aA[kg/(km/h)2],W_eq[kg],F_rr[N],F_slope[N],F_air[N],F_acc[N],R[N],engine_torque[Nm],engine_power[kW],BSFC[g/kW-h],BTE,P_rr[kW],P_air[kW],P_acc[kW],P_slope[kW],vehile_power[kW]
0.157000005,502.5,1.600000024,0.0,1,0.0436111125,24897.5,1337.6000200639999,1,14.68,0.005836898282960136,0.028320500000000002,97862.70319999999,1425.63015675,0.0,0.006848086800328853,5353.70903227806,6779.346037114859,71.88976322249529,3.78295989613569,353.5855670662446,0.23844053983590896,0.06217331714941689,2.9865268385890664e-07,0.23348120689894458,0.0,0.29565482270104526
0.129999995,502.0,1.600000024,0.0,2,-0.007500002777777775,24897.5,1337.6000200639999,1,14.68,0.005836898282960136,0.028320500000000002,97862.70319999999,1425.63015675,0.0,0.004695227013328671,-920.701865000564,504.93298697644934,5.354426913486263,0.2814785661435714,4752.049288831965,0.017741637000188652,0.05148108701370811,1.6954985784905338e-07,-0.03324756606849,0.0,0.01823369049507597
0.088,500.25,1.649999976,0.0,3,-0.011666665277777781,24897.5,1379.399979936,1,14.68,0.005836898282960136,0.028320500000000002,97862.70319999999,1425.63015675,0.0,0.00215146986912,-1432.2022001663847,-6.569891946515554,-0.06038608026781446,-0.003163388673025395,-436051.37481154734,-0.0001933467897581978,0.034848737165,5.25914856896e-08,-0.035009387115178286,0.0,-0.0001605973586926024
0.158999994,498.5,1.700000048,0.0,4,0.01972222055555556,24897.5,1421.2000401279997,1,14.68,0.005836898282960136,0.028320500000000002,97862.70319999999,1425.63015675,0.0,0.007023670668416619,2421.103802955217,3846.740983375885,40.791736689524555,2.129442787500777,667.4046602566829,0.12632386093473813,0.06296532954707473,3.1021210948228293e-07,0.10693208059534907,0.0,0.1698977203545333
0.094999999,497.25,1.799999952,0.0,5,-0.01777777638888889,24897.5,1504.799959872,1,14.68,0.005836898282960136,0.028320500000000002,97862.70319999999,1425.63015675,0.0,0.0025073624948384206,-2182.403441944162,-756.7707778316671,-6.955734022188342,-0.36219827414095174,-4154.630398063127,-0.02029281197402444,0.037620795407116624,6.616650958396874e-08,-0.057591201333969985,0.0,-0.019970339760343778
0.048,499.75,1.75,0.0,6,-0.013055555277777778,24897.5,1463.0,1,14.68,0.005836898282960136,0.028320500000000002,97862.70319999999,1425.63015675,0.0,0.0006401067379200002,-1602.7026187888323,-177.0718219320945,-1.6275265011064048,-0.08517447977914805,-17176.50643471454,-0.00490839821298402,0.01900840209,8.534756505600001e-09,-0.021369368250517762,0.0,-0.00236095762576126
0.075000003,549.75,3.150000095,0.0,7,0.007500000833333332,24897.5,2633.4000794199997,1,14.68,0.005836898282960136,0.028320500000000002,97862.70319999999,1425.63015675,0.0,0.0015627607156458495,920.7016263001691,2346.3333458108846,24.88106489150022,1.4323950776492083,1838.4593192974628,0.045858579846998586,0.029700629453650127,3.2557516211589125e-08,0.019181284648504875,0.0,0.04888194665967121
1.085999966,662.75,8.25,0.0,8,0.28083332305555553,24897.5,6897.0,1,14.68,0.005836898282960136,0.028320500000000002,97862.70319999999,1425.63015675,0.0,0.32766461762382576,34475.15580363124,35901.11362499886,380.70376461022954,26.421990115815014,261.0325705886842,0.32298319439342854,0.4300650838219651,9.884548988857715e-05,10.400005008496729,0.0,10.830168937808583
3.058000088,1008.5,17.89999962,0.0,9,0.5477778116666667,24897.5,14964.39968232,1,14.68,0.005836898282960136,0.028320500000000002,97862.70319999999,1425.63015675,0.0,2.5980344833563787,67245.31546865133,68673.54365988469,728.2302402518827,76.90830321556238,194.57456551052806,0.43329986767926015,1.210993651332487,0.0022068860218696783,57.121161283534306,0.0,58.334361820888674
5.449999809,1516.75,17.35000038,0.0,10,0.6644443669444445,24897.5,14504.60031768,1,14.68,0.005836898282960136,0.028320500000000002,97862.70319999999,1425.63015675,0.0,8.252069900360508,81567.32550119537,83001.20772784573,880.164124691203,139.79971447850514,103.75271774900621,0.8125968680012615,2.15824557833115,0.012492716494672063,123.48386344504323,0.0,125.65460173986905
6.676000118,1341.5,0.0,0.0,11,0.34055564138888883,24897.5,0.0,3,9.92,0.005836898282960136,0.028320500000000002,45257.32519999999,1425.63015675,0.0,12.382336305688366,23891.621492511378,25329.633985567067,397.4866516373142,55.83954151977689,0.0,inf,2.6437519707464885,0.022962355177192004,44.30568552867147,0.0,46.97239985459516
7.010000229,1275.0,24.79999924,0.0,12,0.0927778086111111,24897.5,20732.79936464,3,9.92,0.005836898282960136,0.028320500000000002,45257.32519999999,1425.63015675,0.0,13.652305194087031,6508.810945551553,7948.09340749564,124.72588578446152,16.65311187595012,1244.9804888767744,0.0677192407774401,2.7760188125796685,0.02658407292692444,12.674101727453914,0.0,15.476704612960507
10.22399998,1725.0,33.84999847,0.0,13,0.8927777086111112,24897.5,28298.598720920003,3,9.92,0.005836898282960136,0.028320500000000002,45257.32519999999,1425.63015675,0.0,29.041002479073537,62632.66409006903,64087.33524929811,1005.6939754880246,181.67014629627977,155.769119460986,0.541244206690001,4.048789637249833,0.08247644687922995,177.87676566783682,0.0,182.0080317519659
12.25199986,1726.0,3.25,0.0,14,0.5633332999999998,24897.5,2717.0,4,8.14,0.005836898282960136,0.028320500000000002,30815.3753,1425.63015675,0.0,41.70459329591167,31384.91789523748,32852.25264528339,628.2696141387128,113.5574064846245,23.92622448953057,3.523712382049772,4.8518945780313265,0.14193463089524075,106.81333601626696,0.0,111.80716522519353
11.51500034,1033.25,6.849999905,0.0,15,-0.20472208888888874,24897.5,5726.59992058,7,4.57,0.005836898282960136,0.028320500000000002,10430.791325,1425.63015675,0.0,36.83815188831697,-7232.481596929207,-5770.013288290889,-170.3590783742664,-18.433139672008757,-310.66872071044975,-0.2713795366867312,4.560036594358473,0.11783092542192822,-23.133896679912098,0.0,-18.4560291601317
