VehicleSpeed[km/h],EngineSpeed[rpm],count,mean
6.858,554.9375,207,2.1973429970434784
6.858,780.3125,10,6.2650000569
6.858,1005.6875,31,9.364516146612903
6.858,1231.0625,11,20.327272675454545
6.858,1456.4375,6,22.033333143333333
6.858,1681.8125,9,17.316666443888888
20.5685,554.9375,1,0.0
20.5685,780.3125,10,1.2449999809999999
20.5685,1005.6875,44,10.409090882113636
20.5685,1231.0625,21,20.766666821428572
20.5685,1456.4375,20,26.9124998753
20.5685,1681.8125,18,21.038888917333335
34.278999999999996,780.3125,10,0.0
34.278999999999996,1005.6875,27,9.674073864407408
34.278999999999996,1231.0625,30,28.909999942966667
34.278999999999996,1456.4375,27,29.994444211481483
34.278999999999996,1681.8125,5,37.549999808
47.9895,1005.6875,261,7.809003800766284
47.9895,1231.0625,27,25.68703722114815
47.9895,1456.4375,16,50.656250239375
47.9895,1681.8125,2,36.85000038
61.7,780.3125,1,0.0
61.7,1005.6875,608,17.312335537773027
61.7,1231.0625,12,35.19583312583333
61.7,1681.8125,2,47.149999615
75.41050000000001,1005.6875,30,21.728333441333334
75.41050000000001,1231.0625,4041,23.75923037741475
75.41050000000001,1456.4375,3,9.200000126666668
