EngineSpeed[rpm],engine_torque[Nm],count,mean,median,BTE
581.2345,409.1618,111,4623.182018073424,945.0520230338091,0.08921110312934086
581.2345,1227.286,1,260.35327381460803,260.35327381460803,0.3238259010696984
762.2035000000001,409.1618,11,892.3779870073206,247.13796309333804,0.3411419776799724
762.2035000000001,1227.286,3,159.1216912080073,163.0920307167797,0.5169420793825902
943.172,409.1618,603,553.6887371372936,247.26888662831465,0.3409613503707472
943.172,1227.286,105,115.57077720149518,111.75034389345971,0.7544418258778676
943.172,2045.41,5,58.21435303645635,60.0410259790123,1.4041920855738228
1124.1405,409.1618,1473,596.666528337197,287.80366760011225,0.29293974671165196
1124.1405,1227.286,526,153.58926910695638,147.32578307753565,0.572263263960325
1124.1405,2045.41,51,113.5335002258808,102.61742828432239,0.8215868873254728
1124.1405,2863.5335,6,65.58857892053474,58.75850745650743,1.434841304501587
1124.1405,3681.657,1,43.46828814681839,43.46828814681839,1.9395549510645331
1305.1095,409.1618,1213,701.3489006887601,249.26993187748778,0.33822424090402514
1305.1095,1227.286,465,130.15959573240286,134.04729889839015,0.6289506329655247
1305.1095,2045.41,50,72.6007012273294,67.28059306935322,1.253097359034202
1305.1095,2863.5335,4,73.20044212222894,71.14657630513645,1.1850061923974076
1305.1095,4499.781,1,19.13028485228394,19.13028485228394,4.407102881136441
1305.1095,6136.029,1,22.668120822156467,22.668120822156467,3.7192819886090955
1486.078,409.1618,34,1226.8323311740137,238.8303408955877,0.353008471090027
1486.078,1227.286,19,177.8497965962742,176.572850014648,0.4774750675569166
1486.078,2045.41,5,145.40236255312362,138.52645252114445,0.6086139647342268
1667.0465,409.1618,9,322.22454497097567,153.93522385429895,0.547692278469421
1667.0465,1227.286,9,166.76120882516562,172.42375430263553,0.48896472432379157
1667.0465,2045.41,1,195.36606720823735,195.36606720823735,0.4315444063251665
1848.0155,409.1618,3,135.2168303152349,115.1614721654602,0.7320949611370787
1848.0155,1227.286,5,96.96558863243604,97.55174886758259,0.864250353972671
