EngineSpeed[rpm],engine_torque[Nm],count,mean,median,BTE
578.328,279.3775,124,4494.693515632338,1123.312464381658,0.07505403542002931
578.328,837.8040000000001,2,208.57826605222726,208.57826605222726,0.40420862194889784
740.4839999999999,279.3775,2,285.77124621321985,285.77124621321985,0.2950231508825649
740.4839999999999,837.8040000000001,2,183.54962833694702,183.54962833694702,0.45932609209479197
740.4839999999999,1396.23,1,161.8297973404354,161.8297973404354,0.5209741028847941
902.6405,279.3775,7,868.9249926726128,140.85724703944794,0.598543101341815
902.6405,837.8040000000001,2,194.99069298630542,194.99069298630542,0.4323751672362257
902.6405,1396.23,2,165.23810985513657,165.23810985513657,0.5102281402478809
1064.797,279.3775,486,1091.3000340845963,330.4112215110838,0.25516425593503395
1064.797,837.8040000000001,269,186.15706770286573,171.05509459733972,0.49287706798750064
1064.797,1396.23,42,147.38319785149628,142.18655710064357,0.5929472884682412
1064.797,1954.6565,15,145.00792809250842,143.3742226823829,0.5880355053518336
1064.797,2513.0829999999996,2,163.02731044336076,163.02731044336076,0.5171473004135229
1226.953,279.3775,1449,1564.9196881234159,439.2945488966863,0.19191937095784278
1226.953,837.8040000000001,1778,214.91374370026548,208.15765180735164,0.40502538704408925
1226.953,1396.23,425,137.67000026966167,134.97523319227304,0.6246266925826496
1226.953,1954.6565,64,108.04170955460722,104.95821814318406,0.8032637651531661
1226.953,2513.0829999999996,10,101.60861324081904,88.92489107470004,0.9480937504735172
1226.953,3071.509,4,71.1433678196676,61.95849814884566,1.3607355892798074
1226.953,4188.362,1,22.546998304276087,22.546998304276087,3.7392619785433676
1389.1095,279.3775,15,458.3280249691057,404.3918320669161,0.20848376946325273
1389.1095,837.8040000000001,19,214.58410331014255,201.02394587837858,0.41939846082052934
1389.1095,1396.23,13,184.77008113023385,184.2633399831054,0.4575469732459611
1389.1095,2513.0829999999996,1,162.73893403553316,162.73893403553316,0.5180636950162948
1551.266,279.3775,15,164.86878668913897,116.97335921706683,0.7207549997175798
1551.266,837.8040000000001,14,175.24602898715276,184.9345490696571,0.4558863333735745
1551.266,1396.23,13,169.29689728235158,143.4389758056738,0.5877700465714456
1713.422,279.3775,7,162.78073077527026,104.26089868923228,0.8086361670520353
1713.422,837.8040000000001,14,158.712777016884,154.5538564178481,0.5455000311446464
1713.422,1396.23,2,145.39169078443587,145.39169078443587,0.579875872098233
