TimeStamp,,TestSequenceNumber,TestStatus,TestStatusRun,TestStatusResult,TestTime,TestDistance,TestPhaseNo,TestPhaseTime,TestTotalPhaseTime,GPSIsUnknown,GPSAltitude,GPSLatitude,GPSLongitude,GPSSpeed,GPSCourse,GPSSatelliteId,GPSNumberOfSatellite,SystemBatteryVoltage,AmbientTemp,AmbientRelativeHumidity,AmbientPressure,ExhaustVolumeFlowRate,ExhaustVolumeFlowRate_1,ExhaustTemp_1,ExhaustPressure_1,ExhaustVolumeFlowRate_2,ExhaustTemp_2,ExhaustPressure_2,ExhaustDiffPressure_1,ExhaustDiffPressure_2,Tailpipe_Operation,Tailpipe_Sequence,Tailpipe_CO_Conc,Tailpipe_CO2_Conc,Tailpipe_H2O_Conc,Tailpipe_NO_Conc,Tailpipe_NOx_Conc,Tailpipe_NO2_Conc,OBD_Ch2,OBD_Ch3,OBD_Ch4,OBD_Ch5,OBD_Ch6,OBD_Ch7,OBD_Ch8,OBD_Ch9,OBD_Ch10,OBD_Ch11,OBD_Ch12,OBD_Ch13,OBD_Ch15,OBD_Ch14,Tailpipe_Analyzer_Temp,Tailpipe_Ambient_Temp,Tailpipe_Ambient_RelativeHumidity,Tailpipe_Ambient_AbsoluteHumidity,OBD_Ch1,OBD_Ch16,OBD_Ch17,OBD_Ch18,OBD_Ch19,OBD_Ch20,OBD_Ch21,GPSSpeed
[],[s],[],[],[],[],[],[km],[],[s],[s],[],[m],[deg],[deg],[km/h],[deg],[],[],[V],[degC],[%],[kPa],[m3/min],[m3/min],[degC],[kPa],[m3/min],[degC],[kPa],[Pa],[Pa],[],[],[vol%],[vol%],[vol%],[ppm],[ppm],[ppm],[degC],[rpm],[km/h],[degC],[g/s],[%],[kPa],[degC],[degC],[L/h],[%],[Nm],[%],[],[deg C],[deg C],[%],[%],[%],[%],[deg C],[%],[L/h],[g/s],[g/s],[km/h]
Absolute_time,Relative_time,SYS_TestSequenceNumber,SYS_TestStatus,SYS_TestRunStatus,SYS_TestResultStatus,SYS_TestTime,SYS_TestDistance,SYS_PhaseNo,SYS_PhaseTime,SYS_TotalPhaseTime,GPS_GPSStatus,GPS_Altitude,GPS_Latitude,GPS_Longitude,GPS_VehicleSpeed,GPS_Course,GPS_GPSSatelliteId,GPS_GPSNumberOfSatellite,BT_BatteryVoltage,WS_AmbientTemp,WS_AmbientRelativeHumidity,WS_AmbientPressure,PF_ExhaustFlowRate,PF_ExhaustFlowRate1,PF_ExhaustTemp1,PF_ExhaustPressure1,PF_ExhaustFlowRate2,PF_ExhaustTemp2,PF_ExhaustPressure2,PF_ExhaustDiffPressure1,PF_ExhaustDiffPressure2,GA_Operation,GA_Sequence,GA_COConc,GA_CO2Conc,GA_H2OConc,GA_NOConc,GA_NOxConc,GA_NO2Conc,OBD_EngineCoolantTemp,OBD_EngineSpeed,OBD_VehicleSpeed,OBD_IntakeAirTemp,OBD_MassAirFlowRate,OBD_CommandedEGR,OBD_BarometricPressure,OBD_AmbientAirTemp,OBD_EngineOilTemp,OBD_EngineFuelRate,OBD_ActualEnginePercentTorque,OBD_EngineReferenceTorque,OBD_NominalFrictionPercentTorque,OBD_DPF_Regeneration_Status,TailpipeAnalyzerTemp,TailpipeAmbientTemp,TailpipeAmbientRelativeHumidity,TailpipeAmbientAbsoluteHumidity,OBDCalculatedLOADValue,OBDEngineFrictionPercentTorque,OBDEngineCoolantTemp1,OBDDriversDemandEnginePercentTorque,OBDEngineFuelRate_1,OBDEngineFuelRate_2,OBDVehicleFuelRate,VehicleSpeed_Max
03/27/2025 14:10:28.8722915,8,20448,1,32,0,2044.8,0.27584075,1,8,8,2,7.199999809,24.06101967,120.3849978,3.058000088,169.25,0,11,24.3856678,33.03559113,53.20631027,102.8794708,4.338558197,4.338558197,92.56150055,100.9774017,0,0,0,175.1000061,0,5,600,0.005857062,3.632871094,2.341737032,452.6341248,289.0050049,-165.2447815,83,1008.5,3,0,100.1100006,0,101,34,0,17.89999962,39,2402,9,0,41.90000153,35.60000229,47.70000076,2.722234488,83.92156982,9,83,50,17.89999962,0,0,3.058000088
03/27/2025 14:10:29.8722915,9,20458,1,32,0,2045.8,0.277241917,1,9,9,2,6.599999905,24.06100733,120.385,5.449999809,173.5200043,0,10,24.39501381,33.0699234,53.20631027,102.8964844,5.609043121,5.609043121,92.75180054,100.8612976,0,0,0,306.1000061,0,5,600,0.011427251,7.163166406,2.419366121,473.2831116,354.7190552,-119.7347565,83,1516.75,4,0,136.4100037,0,101,34,0,17.35000038,26,2402,11,0,41.90000153,35.60000229,47.70000076,2.722234488,63.13725281,11,83,37,17.35000038,0,0,5.449999809
03/27/2025 14:10:30.873291,10,20468,1,32,0,2046.8,0.279112083,1,10,10,2,6.300000191,24.0609905,120.385002,6.676000118,177.1199951,0,11,24.37943649,33.04703522,53.1681633,102.8752136,5.940892696,5.940892696,93.06900024,101.183197,0,0,0,327.3999939,0,5,600,0.011863707,6.112427734,2.405870676,254.8857574,212.8838196,-42.41666412,83,1341.5,5,0,151.3200073,0,101,34,0,0,0,2402,10,0,41.90000153,35.60000229,47.70000076,2.722234488,0,10,83,60,0,0,0,6.676000118
03/27/2025 14:10:31.873291,11,20478,1,32,0,2047.8,0.280975528,1,11,11,2,6,24.06097383,120.3850047,7.010000229,174.1999969,0,11,24.36697578,33.06420135,53.18723679,102.883728,6.993839741,6.993839741,93.3227005,101.1458969,0,0,0,465.7000122,0,5,600,0.007638986,4.776896094,2.359198332,275.3532104,176.3125916,-100.0185394,83,1275,6,0,93.33000183,0,101,34,0,24.79999924,40,2402,10,0,41.90000153,35.60000229,47.70000076,2.722234488,88.62744904,10,83,62,24.79999924,0,0,7.010000229
03/27/2025 14:10:32.8712921,12,20488,1,32,0,2048.8,0.283401083,1,12,12,2,6,24.06095383,120.3850053,10.22399998,177.7899933,0,11,24.37943649,33.08708954,53.18342209,102.8922272,11.02068806,11.02068806,93.51300049,101.7278976,0,0,0,1095.700073,0,5,600,0.008901382,6.363317969,2.400840759,584.3132324,395.4585571,-190.7194214,83,1725,8,0,254.1300049,0,101,34,0,33.84999847,39,2402,11,0,41.90000153,35.60000229,47.70000076,2.722234488,78.4313736,11,83,48,33.84999847,0,0,10.22399998
03/27/2025 14:10:33.8722915,13,20498,1,32,0,2049.8,0.286631556,1,13,13,2,5.800000191,24.06092167,120.3850075,12.25199986,177.0299988,0,11,24.37009048,33.09281158,53.171978,102.88797,7.545597076,7.545597076,94.59120178,101.4664993,0,0,0,553,0,5,600,0.007070421,4.1197375,2.378791094,369.0899353,308.8660278,-60.81855774,83,1726,11,0,171.4400024,0,101,33,0,3.25,11,2402,11,0,41.90000153,35.60000229,47.70000076,2.722234488,18.43137169,11,83,50,3.25,0,0,12.25199986
03/27/2025 14:10:34.8722915,14,20508,1,32,0,2050.8,0.289863028,1,14,14,2,5.699999809,24.06089267,120.3850102,11.51500034,175.8300018,0,11,24.37943649,33.10425568,53.1681633,102.8922272,5.70516634,5.70516634,95.60600281,101.2029037,0,0,0,297.5,0,5,600,0.005458644,2.00571875,2.349461079,147.3168488,130.1136627,-17.37305069,83,1033.25,12,0,122.2799988,0,101,33,0,6.849999905,20,2402,9,0,41.90000153,35.60000229,47.70000076,2.722234488,31.76470566,9,83,73,6.849999905,0,0,12.25199986
03/27/2025 14:10:35.8712921,15,20518,1,32,0,2051.8,0.293155222,1,15,15,2,5.5,24.0608625,120.3850128,12.47799969,176.2400055,0,11,24.36697578,33.10425568,53.14908981,102.88797,7.512053967,7.512053967,96.36710358,101.4664993,0,0,0,535.7000122,0,5,600,0.014273035,4.906383203,2.441854715,499.8022766,299.7114258,-202.0665436,83,1191.75,13,0,166.7599945,0,101,34,0,36,59,2402,10,0,41.90000153,35.60000229,47.70000076,2.722234488,100,10,83,65,36,0,0,12.47799969
03/27/2025 14:10:36.8722915,16,20528,1,32,0,2052.8,0.297232722,1,16,16,2,5.5,24.06082483,120.3850145,16.1060009,178.1499939,0,11,24.32647705,33.11569977,53.14908981,102.88797,8.201105118,8.201105118,97.19159698,101.4210968,0,0,0,628.2999878,0,5,600,0.015680885,8.665498438,2.578939915,605.8201904,451.7814331,-155.5597382,83,1447,16,0,181.3399963,0,101,34,0,34.95000076,48,2402,11,0,41.90000153,35.60000229,47.70000076,2.722234488,75.29412079,11,83,48,34.95000076,0,0,16.1060009
03/27/2025 14:10:37.8722915,17,20538,1,32,0,2053.8,0.302043472,1,17,17,2,5.5,24.06078083,120.3850172,18.43799973,177.8999939,0,11,24.32024574,33.08708954,53.13001633,102.862442,7.454131126,7.454131126,97.8891983,101.4395981,0,0,0,529.6999512,0,5,600,0.008238032,8.193564844,2.634154797,342.1308899,279.9248962,-62.82021332,83,1597.25,18,0,146.6199951,0,101,33,0,20.85000038,28,2402,11,0,41.90000153,35.60000229,47.70000076,2.722234488,63.13725281,11,83,27,20.85000038,0,0,18.43799973
