廠商名稱,污染審驗編號,國產/進口,引擎族,引擎型式,車型名稱,總重,my_數量_1_11,my_車型名稱,車種底盤別,進口國產別,核章_12月,my_數量_1_12,my_車型名稱_full
台中眾鈴汽車股份有限公司,C3D658002H-1,國產,JSZ05.2FZA4-C3,4HK1E6C-C,五十鈴 NQR90KMD6  5193c.c. M6 2D  大貨車底盤,9500.0,0.0,五十鈴 NQR90KMD6 5193c.c. M6 2D,大貨車底盤,,0.0,0.0,五十鈴 NQR90KMD6 5193c.c. M6 2D 大貨車底盤
台中眾鈴汽車股份有限公司,C3D658002H-1,國產,JSZ05.2FZA4-C3,4HK1E6C-C,五十鈴 NQR90LAD6  5193c.c. A6 2D  大貨車底盤,9500.0,0.0,五十鈴 NQR90LAD6 5193c.c. A6 2D,大貨車底盤,,0.0,0.0,五十鈴 NQR90LAD6 5193c.c. A6 2D 大貨車底盤
台中眾鈴汽車股份有限公司,C3D658002H-1,國產,JSZ05.2FZA4-C3,4HK1E6C-C,五十鈴 NQR90LMD6  5193c.c. M6 2D  大貨車底盤,9500.0,0.0,五十鈴 NQR90LMD6 5193c.c. M6 2D,大貨車底盤,,0.0,0.0,五十鈴 NQR90LMD6 5193c.c. M6 2D 大貨車底盤
國瑞汽車股份有限公司,C4D720003M-1,國產,LHM05.1FZA1-C4,A05C-TM,國瑞 FC2AD7D-DBAPF  5123c.c. M6 2D  大貨車底盤,10400.0,70.0,國瑞 FC2AD7D-DBAPF 5123c.c. M6 2D,大貨車底盤,,0.0,70.0,國瑞 FC2AD7D-DBAPF 5123c.c. M6 2D 大貨車底盤
國瑞汽車股份有限公司,C4D720003M-1,國產,LHM05.1FZA1-C4,A05C-TM,國瑞 FC2AG7A-DBAPF  5123c.c. M6 2D  大貨車底盤,10400.0,35.0,國瑞 FC2AG7A-DBAPF 5123c.c. M6 2D,大貨車底盤,,0.0,35.0,國瑞 FC2AG7A-DBAPF 5123c.c. M6 2D 大貨車底盤
國瑞汽車股份有限公司,C4D720003M-1,國產,LHM05.1FZA1-C4,A05C-TM,國瑞 FC2AG7A-DMAPF  5123c.c. A6 2D  大貨車底盤,10400.0,9.0,國瑞 FC2AG7A-DMAPF 5123c.c. A6 2D,大貨車底盤,,0.0,9.0,國瑞 FC2AG7A-DMAPF 5123c.c. A6 2D 大貨車底盤
國瑞汽車股份有限公司,C4D720003M-1,國產,LHM05.1FZA1-C4,A05C-TM,國瑞 FC2AJ7A-DBAPF  5123c.c. M6 2D  大貨車底盤,10400.0,23.0,國瑞 FC2AJ7A-DBAPF 5123c.c. M6 2D,大貨車底盤,,0.0,23.0,國瑞 FC2AJ7A-DBAPF 5123c.c. M6 2D 大貨車底盤
國瑞汽車股份有限公司,C4D720003M-1,國產,LHM05.1FZA1-C4,A05C-TM,國瑞 FC2AJ7A-DMAPF  5123c.c. A6 2D  大貨車底盤,10400.0,8.0,國瑞 FC2AJ7A-DMAPF 5123c.c. A6 2D,大貨車底盤,,0.0,8.0,國瑞 FC2AJ7A-DMAPF 5123c.c. A6 2D 大貨車底盤
國瑞汽車股份有限公司,C4D720003M-1,國產,LHM05.1FZA1-C4,A05C-TM,國瑞 FC2AL7A-DBAPF  5123c.c. M6 2D  大貨車底盤,10400.0,6.0,國瑞 FC2AL7A-DBAPF 5123c.c. M6 2D,大貨車底盤,,0.0,6.0,國瑞 FC2AL7A-DBAPF 5123c.c. M6 2D 大貨車底盤
國瑞汽車股份有限公司,C4D720003M-1,國產,LHM05.1FZA1-C4,A05C-TM,國瑞 FC2AL7A-DMAPF  5123c.c. A6 2D  大貨車底盤,10400.0,6.0,國瑞 FC2AL7A-DMAPF 5123c.c. A6 2D,大貨車底盤,,0.0,6.0,國瑞 FC2AL7A-DMAPF 5123c.c. A6 2D 大貨車底盤
國瑞汽車股份有限公司,C4D720003M-1,國產,LHM05.1FZA1-C4,A05C-TM,國瑞 FD2AG7A-DBCPF  5123c.c. M6 2D  大貨車底盤,11000.0,58.0,國瑞 FD2AG7A-DBCPF 5123c.c. M6 2D,大貨車底盤,,0.0,58.0,國瑞 FD2AG7A-DBCPF 5123c.c. M6 2D 大貨車底盤
國瑞汽車股份有限公司,C4D720003M-1,國產,LHM05.1FZA1-C4,A05C-TM,國瑞 FD2AG7A-DMCPF  5123c.c. A6 2D  大貨車底盤,11000.0,44.0,國瑞 FD2AG7A-DMCPF 5123c.c. A6 2D,大貨車底盤,,0.0,44.0,國瑞 FD2AG7A-DMCPF 5123c.c. A6 2D 大貨車底盤
國瑞汽車股份有限公司,C4D720003M-1,國產,LHM05.1FZA1-C4,A05C-TM,國瑞 FD2AJ7A-DBCPF  5123c.c. M6 2D  大貨車底盤,11000.0,87.0,國瑞 FD2AJ7A-DBCPF 5123c.c. M6 2D,大貨車底盤,,0.0,87.0,國瑞 FD2AJ7A-DBCPF 5123c.c. M6 2D 大貨車底盤
國瑞汽車股份有限公司,C4D720003M-1,國產,LHM05.1FZA1-C4,A05C-TM,國瑞 FD2AJ7A-DMCPF  5123c.c. A6 2D  大貨車底盤,11000.0,75.0,國瑞 FD2AJ7A-DMCPF 5123c.c. A6 2D,大貨車底盤,,0.0,75.0,國瑞 FD2AJ7A-DMCPF 5123c.c. A6 2D 大貨車底盤
